Video ID,URL,Title,Description,Published At,Channel Title,Views,Likes,Dislikes,Comments
Bxhh12yUS-g,https://www.youtube.com/watch?v=Bxhh12yUS-g,Nothing CEO Reacts to MKBHD&#39;s review of Phone (2),Our website: https://nothing.tech/ ➤ Join our community: https://nothing.community/ ➤ Follow us: ...,2024-11-22T01:54:08Z,Nothing,1846415,76139,,"The only company who checks the reviews and try to upgrade themselves very cool nothing | On point, Mr. PEI. You&#39;re like a police, calling him not to overspeed on a speed limit road. | The lights should fill up as you speed and top at 96mph | I’m just happy there’s a tech company who even makes videos like that about their products and tries to get personal | I used to wonder the same thing when watching mobile camera reviews—&quot;Did they clean the camera lens before taking the shot?&quot; Not everyone thinks about that, and some people might just take the photo without considering that a smudged lens can dramatically affect the image quality. thats why i dont believe too much with some of the phone reviewers because im prettty sure some of them are bias with other brands. | Marcus needs to understand that phone company targets average people, so having loads of options in the phone is overwhelming | That thing he mentioned about keeping a  balance is so important. And it pretty much applies with every software and consumer device. | All you got to do is bury the feature under a menu and most people won&#39;t worry about it and the people who value it, will | I love how he looks up like there is someone giving him the answers. | I like how you talk calmly even when responding to criticism...It shows composure. Kudos Senior🎉 | That dust resembles the condition of the phone for a regular day to day user. An user can see how much the phone attracts dust or smudges. So cleaning it won&#39;t do that. | few CEOs would face their critics so transparently 👏 👏 👏 | I&#39;m from South Africa. I am buying the Nothing 3a. Much respect for the Nothing company and the way they do things 😎👍 | we are learning something out of nothing | Great work Carl pei | The dust suggests that he genuinely tested the device as an ordinary user would, rather than presenting it as an advertisement. | I don’t think I’ve cleaned my phone lenses a signal time in my life | What a brilliant strategy guys. I have never seen this before. I think this is a masterstroke so many new founders and companies missed out on. | It is very important to review a reviewer especially by the companies so that the consumers can have both side opinions. | Exactly that. You can’t go from 0-100 while in a 60. Got to slowly come up to speed then when your customer base is ready expand."
auHl5yy8Bmw,https://www.youtube.com/watch?v=auHl5yy8Bmw,Samsung Samsung S25 Ultra in-depth review Mobile phone digital Digital technology New product launch,,2025-02-06T12:03:14Z,Trendy Tech Review Show,11880532,100888,,"24 It&#39;s cooler, I don&#39;t know if I don&#39;t have taste, but I loved it. | I currently have a iPhone but wanting to swap. You guys think I should just go ahead and get the s25? | Suggest Samsung to continue with S24 ultra design. It looks more premium than the new design of S25 ultra. | Beautiful phone!! I just got the 1TB jade green for $800 from my Supplier, and Pinkgold for my wife💟💟We loveee it! | I just got the S25 Ultra and it&#39;s amazing but I like the way the 24 looks with the square edges | S24 ultra looks way better🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️ | I use S24 Ultra and am impressed with the S24 Ultra. I still follow Samsung&#39;s products. If in the future, using iPhone with Samsung will be a perfect fit for me. # Thailand | Mine was s24U am satisfied with it. I won&#39;t upgrade to 25 hell nah. I lov the sharp edges of s24U ❤️❤️❤️ | I prefer the design of the S24 Ultra. 🥰 | Got the S25U. The S24U looks way more premium and better screen. Thinking to go back to the S24U | How did u make ur apps like that? | S24 Ultra for the win.🎉🎉🎉 | How did you do that app spinning thing 😮😮😮 | I still love my galaxy note 20 ultra ❤<br>The screen size is bigger | How did you get your apps/screen to do that?? | I&#39;m still happily rocking my S22U. I recently did a factory reset, and it feels buttery smooth new again. 😅 | Which launcher or theme is this | I have already S25 Ultra ❤ | Как сделать такой же шар из приложений? | How to get this type of theme"
-aBIyLMT2KE,https://www.youtube.com/watch?v=-aBIyLMT2KE,Nothing Phone (2a) Review,,2024-03-13T22:43:10Z,Parker Burton,698066,40395,,"“Mom, what am I getting for Christmas?”<br>“Nothing.” | &quot;REALLY YOU GOT ME NOTHING&quot;<br><br>&quot;nothing Too Ay? &quot; | Looks like a great phone for anyone who doesn&#39;t wanna go into debt for the latest and greatest models | I love the fact that they&#39;re paying attention to uniform bezels. Would totally buy one if they make one in a smaller form factor like the base iphone models and s series. | I love the display bezels being all symmetrical, it makes it feel more expensive than it actually is | Honestly, Nothing Phone 2a looks better than the regular 2. Just my opinion | I really want to get a nothing phone they look really nice | I just bought it, it feels premium | Woooow I wonder whether one day I will own that | I used to be an Apple user but because of your videos I now have a phone 2a and I&#39;m happy 😭 | Watching from Nothing 2a 🔥 | Pretty cute 😊 I enjoy my nothing phone 2 gets better longer you use it | You&#39;re starting to become one of my favourite YouTubers 😊 | Parker can you do a camera test  of nothing phone 2a vs Samsung s9. I would love to watch the comparison 😊 | Watching and commenting from my new 2a 😁 | I am buy phone 8/128 nothing a2 22,000 Indian rupees ❤ very nice Phone 📱 | I am facing an <a href=""http://issue.black/"">issue.Black</a> colour is not rendering well.why? | That looks simple. What anybody would expect from &#39;Nothing&#39;. Simple is better. | Where is Roche’s review? | I’m so glad I know about this now"
dum2sU-HXEo,https://www.youtube.com/watch?v=dum2sU-HXEo,Sony Is Back With A Crazy Phone! 🤯,"In this video, we are talking about the coolest new flagship phone by Sony, the Xperia 1 VII. Along with some good cameras and a ...",2025-06-16T13:19:09Z,Beebom,2638897,82824,,"Being a Sony Xperia user. The only problem with their phones is -lack of properly optimized software. Harware is another level. | For anyone wondering, the price is 1,56,700 rs<br><br>Edit: If only likes could convert to money 😅 | Having 3.5mm jack &amp; still waterproof 😮 means all brands are making us fool 😐 | I miss Sony phones at india 😭😭 they are OG phones but unfortunately no one respects it and market went down so it&#39;s rare to see 🥺🥺 | Sony should partner with google to make phones. Sony hardware+google software=🔥🔥 | I use a Sony Xperia 1 from 2021 and I still enjoy using this phone and I still see no problems with using it in 2025. | I am Sony fan, all of their electronics gadgets like mp3 player, 🎧, TV, home theater, portable speaker, hard disk, laptop and obviously mobile. All I have or once had from the brand. <br>Initially two smart phones was of Experia. I love Sony as always. Love to pay extra to the Japanese brand. | My last sony was xperia z, prior to that Arc this brought tears to my eyes. | Incase of 3.5mm jack, india manufacturers should learn from sony | I hate that they removed 4k display because sony was the only brand which provided 4k display on smartphone 😢 | Sony is great at everything they do. Sony is the goat no questions asked | I just wish this would come to India, even if in official imported form by Sony India | The greatest point is that this flagship phone is having micro sd card slot. No flagship phones  offer that now. | It is pretty evident that other manufacturers removed headphone jacks and proper stereo speakers to force customers into buying their wireless products.<br>Sony meanwhile didn&#39;t have to worry about it since their core are of business before phones was audio and TV&#39;s. | expandable memory option would have been revelutionary if added | This is call ed proper flagship | You forgot to mention SD Card | Sony&#39;s smartphone is actual flagship .... Provide almost everything... No useless fancy things .. | Actually in my opinion this phone is for only professional photographers end photographers because this camera has lot of potential. | I used Xperia SP in white colour. Just Absolute Beauty. No phone  can match the love i have for that phone. That transparent part at the bottom with changing colors blinking so bright..❤❤"
G64Vkysaf8Y,https://www.youtube.com/watch?v=G64Vkysaf8Y,Nothing Phone 3a vs OnePlus 13s SPEED TEST – The Winner DESTROYS the Competition!😱,"In this epic speed test battle, we pit the Nothing Phone 3a against the OnePlus 13s to see which smartphone truly dominates in ...",2025-06-18T09:33:46Z,Mobile Velo,89748,1178,,Vote for nothing 🗿 | But difference in under 25k &amp; under 55k ❤💀☠️ | 25k ☠️🥵 55k 🤡🤣 | What a stupid comparison | Compare iqoo 13 vs Oneplus 13s instead of this. How can you compare  8 elite powerful chipset with midrange phone? | It&#39;s like your Daddy is comparing you(Nothing) to your friend(OnePlus)😂😂😂 | Next on i phone 16 vs Nokia Pro | Green lines 😂 | Flagship vs midrange | When i check comments i realise creator is oneplus fan like me 😊<br>Nothing bhi pasand hai mujhe tho 😂 | Power of 8 elite 🔥 | Is oneplus 13s under 25k? | My old phone was OnePlus my new phone is nothing 3A PRO | You opened it in OnePlus app first | Bro it&#39;s the internet 😅😅 | Bhai dam ta age giye dekhai One puls ar fap nothing 😂  ar pagol r moto comperar koris na 😂 | Demonsity 7300 vs snapdragon 8 elite 😂 | 🤣🤣🤣🤣Oneplus ka kachra ho rha he ese hi bina Koi test kiye. Khud 60k ka phone he and 30k k phone se compare kar rha he😂😂😂. Samsung galaxy s23 se compare karna🤣🤣🤣 | One plus papa | Fake ✔️
wYo8kc1bVAU,https://www.youtube.com/watch?v=wYo8kc1bVAU,Nothing CEO Reacts To YouTubers Review!,Our website: https://nothing.tech/ ➤ Join our community: https://nothing.community/ ➤ Follow us: ...,2024-11-27T00:00:37Z,Nothing,2580703,99011,,"&quot; i see the difference&quot; bro u r the owner of the company | Front of the phone is not a valid comparison at all. Just compare the back of the phone if you want to compare | I agree tbh , that&#39;s a fair point.<br><br>Although I also remember how Carl keeps comparing the nothing devices with iPhones &amp; how he is inspired by Apple.<br>It won&#39;t be foreign if that bleeds into his products , knowingly or unknowingly. | &quot;I saw the difference in half a second.&quot;<br><b>you&#39;re literally the ceo of the company</b> 😭 🙏 | He should had said - see you can have cooler iPhone for fraction of the cost | How many Reupload u guys want 😭😭😭😭 | I wish Nothing 3 comes with 8 gen 3 / 8s gen 3 | The difference is: iPhone corners are more round than any other phone. | There is a reason he wants his phones to be directly compared with iPhone. | I wish nothing phone 3 doesn&#39;t come with SD 7s gen 3😅😢 | Huge respect for nothing CEO but still miles to go 😢❤ | What&#39;s up with people comparing every phone to an iPhone | They&#39;ll also have the same aspect ratio as well, because it makes it easier for devs to deploy hybrid apps. | I seriously don’t know what the obsession is with having something ‘different’ - of course as a reviewer it’s harder if things only have minor differences but at this stage we’re all carrying a computer around in our pocket - it needs a big screen and good battery. The rest is software. Love what nothing is doing as a company at least making it look unique, but the we’re at peak mobile device. It’s like complaining that wheels are round. | I don&#39;t think it&#39;s bad to copy the good part. I like the iPhone&#39;s symmetrical bezels but also like android as my daily driver OS | Yes he is right, front of phones is almost identical these days. | Not being able to distinguish two black slabs is one thing , having the same dimensions is a completely different thing😂 | I can see the difference between the two phones because I own a Nothing cmf phone | fair point but he was talking about edges curviness r exactly same as apple     like screen size &amp; that | &quot;Any phone would be similar &quot;<br>S24 ultra: 😂"
iKSiM0B23a0,https://www.youtube.com/watch?v=iKSiM0B23a0,MrWhoseTheBoss Reviews Nothing Phone,Our website: https://nothing.tech/ ➤ Join our community: https://nothing.community/ ➤ Follow us: ...,2024-12-15T12:30:29Z,Nothing,2742364,142697,,"Lmao, carl pronouncing Arun&#39;s name better than Arun himself | Using Nothing 1 for almost 2 years... And i love it... | Carl Pei is most chill and calm CEO out there | I&#39;m loving this, a CEO responding to us. Keep at it NOTHING. | Respectfully Mr Carl..I was with OnePlus till you left. And then I moved to the nothing 1. Still rocking it with my kid. I think it&#39;s a good option to keep both options available. For me, like the telegram logo/color makes it easier for me to focus and find it when I need it. Monochrome makes it more harder for me. | I&#39;m a long time Samsung user, honestly seeing the CEO of a company being so down to earth is incredibly refreshing. ❤ | i love it how a reviewer is being reviewed!! crazy | #1 reason for me is seeing your project and having a CEO and company communicate their ideas in a way that makes you feel included and part of the journey | Carl looks absolutely high every single time. Goat CEO | Got Nothing 2A yesterday and the phone feels exciting. Thanks for all the hard effort Nothing team has put in to this. | I like how he pronounced Arun’s name the right way | The monochrome display was the major reason why I made my choice for the Nothing phone. I love this balanced and calm UI. | I love how chill and calm also honest with whatever he says about the brand | I&#39;ve been using nothing 2a for 5 months, and I love every part of it, the design, monocrome app icons, widgets, back eveything! good job. | I love my Nothing Phone 1 and 2. Both have fantastic software, great hardware and are priced well. I can&#39;t wait for Nothing 3! | I hope i could afford this perfect piece of technology.. Nothing you&#39;re one of the coolest companies currently in the market, please expand to more products such as speakers, headphones, televisions.. | Hi Carl, soon to be nothing user here. Phone (2a) will be my first android phone and I think I’ve chosen the right one. I love your vision. | Yes, the monochrome mode does look amazing! | I always like clean interface 👍 | ngl.. I like the fact that a CEO of a major tech company, speaks directly to consumers in a non scripted way instead of in a carefully prepared by a PR firm show."
AXniwNtwvVo,https://www.youtube.com/watch?v=AXniwNtwvVo,Most powerful Phone Under 30K🔥 iQOO Neo 10 5G Unboxing,The Most Powerful Phone under 30K iQOO Neo 10 5G After 48 Hours Uses #iqooneo10 #sistechbanna #bestcameraphone ...,2025-05-26T12:59:26Z,Sistech Banna,408408,8001,,Really all rounder mobile gaming camera battery life design | iqoo neo 10 vs iqoo neo 10r which phone is best for gaming best and performance as well photo | Please dont forget to set the phone to 120hz or 144hz before showing us the swipes. I bet u showed us a 60hz motion there. | Bbd sale price kya hoga pls batao iqoo neo 10 ka | Bro ye glass back hai ya plastic | 2K likw left 🥺 | Camera kasa hai realme 13 pro+ se acha hai kya | How much🎉🎉 | Model name bro🎉🎉🎉 | Nice 🤩🤩🤩 | Very nice | Konsa colour choose karu... Koi help karo | watching on iqoo neo 10r 🗿🗿🔥 | Watching on iQOO 13 👽 | Iqoo neo 10 only give 60fps when you set in 120fps | This is 5g phone or not | Bhi jab vedio dekhae to price bhi bata dete yaar ❤❤ | Irrigating sounds | Iqoo 13 ya iqoo neo 10? Comparable nhi hai but still battry dekhke thoda hesitant hu. 10 has 7k mAh battery. Or wait for Iqoo 14? | Ye wala to mujhe sell kar do
DLyJwgxGDmc,https://www.youtube.com/watch?v=DLyJwgxGDmc,iQOO 13 vs iPhone 15 - Ultimate Comparison #iQOO13 #iPhone15 #iQOO13vsiPhone15,,2024-12-29T14:40:27Z,Techy Kiran,1662236,70133,,"Iquoo 13 is best than iphone 15 👍 | Watching on my iqoo 13📈 | Battery backup not similar😂 | Iqoo 13 is best 😈💪😎💯🤩😁🫵👍 | Which app you use for video editing ❤ | iQOO z9 is also Best in price segment and performance is also very good | I can&#39;t choose because I have already bought Realme 13 pro+5g for camera phone under 35K 😊 | iqoo offline mai aana chahiye budget mai 🤔 | Which is best for casual gaming and camera and battery backup also for media under 40000 | I’ve been using the iPhone 15 for about a year now, and it’s held up pretty well. The screen’s still in great shape, probably thanks to the Gadgetshieldz screen protector I put on early. Didn’t expect it to last this long, honestly. | Have both neo 9 pro and iPhone 15 ❤❤ | Gaming content recording which is better iqoo13 or 15 | Mem iphone 13 pro Max ya Iphone 15 konsaa beter hai gaming bahut jyada karta hu | Getting an almost perfect UI, Software, camera and decent performance most people should go with I phone | ❤ Sis what happened to your finger | Is iqoo 13 comes with curved display? | Which one to buy | Iqoo 13 lene wale legend bhai log 😈 | Iqoo fans attendece here ❤🎉 | Watching on iQOO 13 it ia beast but UI experience is worst. It feels  like using under 20k budget phone"
pLlfQoxE7P8,https://www.youtube.com/watch?v=pLlfQoxE7P8,Vivo T4 5G Unboxing and First Look  Best 5G Phone Under 20K🔥,Vivo T4 5G Unboxing and First Look Best 5G Phone Under 20K   #vivoT45G #sistechbanna #bestcameraphone #youtubeshorts ...,2025-04-22T06:10:00Z,Sistech Banna,1016377,15727,,"Bro how you got this mobile....is it a review unit | Camera kaisa hai | Which colors is best pless reply | Vivo T4 , Motorola edge 60 fusion, one Plus nord CE4 ya realme P3 Pro konsa le lu dosto please suggest me | Best video vivo t4 5g❤❤❤❤🎉🎉 | Nice mobile ❤❤❤ | I will buy this phone only coz of its battery capacity &amp; charging speed when it&#39;s price drops to 18k ❤🔥✌ | Single speaker? | Waterproof nahi he ye | How many hours new phone ah charge podanum | Waterproof or not | Sir , stereo speaker? 😢 | plz btaye 5g support  and fingerprint h kya | Mera bhi yahi mobil hai 🎉 | Pricee?? | Vivo t4 5g me LAN cable se internet use kar sakte hai kya? | Please bataye memory card k liye space hai kiya ??! | Offline price kya h | Price bhi btea kro😡 | Does it have curved screen or normal one&#39;s??"
